participation_id,Zone,High Intensity Event Count
8d6885e6-bfa9-4561-820c-f80eac8d7f62,7,0
8d6885e6-bfa9-4561-820c-f80eac8d7f62,8,0
8d6885e6-bfa9-4561-820c-f80eac8d7f62,9,0
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,1,4
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,2,11
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,3,2
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,4,4
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,5,7
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,6,3
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,7,8
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,8,5
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,9,2
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,1,0
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,2,2
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,3,0
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,4,0
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,5,4
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,6,0
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,7,0
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,8,0
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,9,1
b2d99dc2-6919-4c70-b381-6f89ca52048d,1,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,2,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,3,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,4,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,5,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,6,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,7,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,8,0
b2d99dc2-6919-4c70-b381-6f89ca52048d,9,0
b4498a98-9d30-4f18-8cdf-884774505d34,1,5
b4498a98-9d30-4f18-8cdf-884774505d34,2,5
b4498a98-9d30-4f18-8cdf-884774505d34,3,1
b4498a98-9d30-4f18-8cdf-884774505d34,4,8
b4498a98-9d30-4f18-8cdf-884774505d34,5,15
b4498a98-9d30-4f18-8cdf-884774505d34,6,4
b4498a98-9d30-4f18-8cdf-884774505d34,7,1
b4498a98-9d30-4f18-8cdf-884774505d34,8,6
b4498a98-9d30-4f18-8cdf-884774505d34,9,3
bff73444-2e99-46e8-9bef-3a0cece74bab,1,0
bff73444-2e99-46e8-9bef-3a0cece74bab,2,0
bff73444-2e99-46e8-9bef-3a0cece74bab,3,0
bff73444-2e99-46e8-9bef-3a0cece74bab,4,1
bff73444-2e99-46e8-9bef-3a0cece74bab,5,2
bff73444-2e99-46e8-9bef-3a0cece74bab,6,0
bff73444-2e99-46e8-9bef-3a0cece74bab,7,0
bff73444-2e99-46e8-9bef-3a0cece74bab,8,0
bff73444-2e99-46e8-9bef-3a0cece74bab,9,0
d56ca4de-1be4-499a-8242-b219e051f33c,1,0
d56ca4de-1be4-499a-8242-b219e051f33c,2,1
d56ca4de-1be4-499a-8242-b219e051f33c,3,1
d56ca4de-1be4-499a-8242-b219e051f33c,4,0
d56ca4de-1be4-499a-8242-b219e051f33c,5,8
d56ca4de-1be4-499a-8242-b219e051f33c,6,1
d56ca4de-1be4-499a-8242-b219e051f33c,7,1
d56ca4de-1be4-499a-8242-b219e051f33c,8,6
d56ca4de-1be4-499a-8242-b219e051f33c,9,0
